Year,Silver Price (Rs per Kg)
1981,2715
1982,2720
1983,3105
1984,3570
1985,3955
1986,4015
1987,4794
1988,6066
1989,6755
1990,6463
1991,6646
1992,8040
1993,5489
1994,7124
1995,6335
1996,7346
1997,7345
1998,8560
1999,7615
2000,7900
2001,7215
2002,7875
2003,7695
2004,11770
2005,10675
2006,17405
2007,19520
2008,23625
2009,22165
2010,27255
2011,56900
2012,56290
2013,54030
2014,43070
2015,37825
2016,36990
2017,37825
2018,41400
2019,40600
2020,63435
2021,62572
2022,55100
2023,78600
2024,95700
2025,262000
2026,250000
